Date,Ticker,Normalized_Close,Daily_Return,Sector
11/04/2024,MVR.AX,151.1203956,-0.00946142,Resources
11/04/2024,QFN.AX,127.6552788,-0.014832129,Financials
11/04/2024,SLF.AX,116.8965601,-0.004446697,Property
12/04/2024,^AXJO,106.269965,0.002974817,Index
12/04/2024,ATEC.AX,138.5417175,-0.001325618,Technology
12/04/2024,MVR.AX,150.6762515,-0.002939008,Resources
12/04/2024,QFN.AX,126.4414391,-0.009508732,Financials
12/04/2024,SLF.AX,116.5150634,-0.00326354,Property
15/04/2024,^AXJO,104.5588455,-0.016101628,Index
15/04/2024,ATEC.AX,139.1669416,0.004512894,Technology
15/04/2024,MVR.AX,149.4548582,-0.008106077,Resources
15/04/2024,QFN.AX,125.2276092,-0.009599937,Financials
15/04/2024,SLF.AX,115.9824627,-0.004571089,Property
16/04/2024,^AXJO,102.9377845,-0.015503815,Index
16/04/2024,ATEC.AX,135.9305007,-0.023255816,Technology
16/04/2024,MVR.AX,147.1230885,-0.015601833,Resources
16/04/2024,QFN.AX,122.6987689,-0.020193952,Financials
16/04/2024,SLF.AX,113.8879713,-0.018058691,Property
17/04/2024,^AXJO,103.3880682,0.004374329,Index
17/04/2024,ATEC.AX,136.4086158,0.003517349,Technology
17/04/2024,MVR.AX,147.5672434,0.003018934,Resources
17/04/2024,QFN.AX,123.3056838,0.004946381,Financials
17/04/2024,SLF.AX,113.7847443,-0.000906391,Property
18/04/2024,^AXJO,103.4330974,0.000435536,Index
18/04/2024,ATEC.AX,136.8131691,0.002965746,Technology
18/04/2024,MVR.AX,147.7893209,0.001504924,Resources
18/04/2024,QFN.AX,123.204543,-0.000820245,Financials
18/04/2024,SLF.AX,114.3308081,0.004799095,Property
19/04/2024,^AXJO,102.6225798,-0.007836153,Index
19/04/2024,ATEC.AX,135.3420649,-0.01075265,Technology
19/04/2024,MVR.AX,145.4575512,-0.01577766,Resources
19/04/2024,QFN.AX,121.7884015,-0.011494231,Financials
19/04/2024,SLF.AX,113.2117469,-0.009787924,Property
22/04/2024,^AXJO,103.8383691,0.011847191,Index
22/04/2024,ATEC.AX,135.8569389,0.003804242,Technology
22/04/2024,MVR.AX,147.4562047,0.013740459,Resources
22/04/2024,QFN.AX,122.597628,0.006644529,Financials
22/04/2024,SLF.AX,114.4370302,0.010822935,Property
23/04/2024,^AXJO,105.1442341,0.012575939,Index
23/04/2024,ATEC.AX,135.5994946,-0.001894966,Technology
23/04/2024,MVR.AX,149.0107142,0.010542178,Resources
23/04/2024,QFN.AX,123.9126087,0.010725988,Financials
23/04/2024,SLF.AX,114.9501777,0.004484103,Property
24/04/2024,^AXJO,105.5494972,0.003854354,Index
24/04/2024,ATEC.AX,135.5994946,0,Technology
24/04/2024,MVR.AX,149.8990022,0.005961236,Resources
24/04/2024,QFN.AX,123.6091562,-0.002448923,Financials
24/04/2024,SLF.AX,114.9426973,-6.51E-05,Property
26/04/2024,^AXJO,103.9734568,-0.014931766,Index
26/04/2024,ATEC.AX,134.9742852,-0.004610706,Technology
26/04/2024,MVR.AX,147.4562047,-0.016296289,Resources
26/04/2024,QFN.AX,120.9791651,-0.021276669,Financials
26/04/2024,SLF.AX,113.3404099,-0.01393988,Property
29/04/2024,^AXJO,105.6845849,0.016457355,Index
29/04/2024,ATEC.AX,137.1809341,0.016348661,Technology
29/04/2024,MVR.AX,148.3444927,0.00602408,Resources
29/04/2024,QFN.AX,123.6091562,0.021739207,Financials
29/04/2024,SLF.AX,114.2604901,0.008117847,Property
30/04/2024,^AXJO,105.6395557,-0.000426072,Index
30/04/2024,ATEC.AX,137.2177223,0.000268173,Technology
30/04/2024,MVR.AX,148.7886368,0.002994004,Resources
30/04/2024,QFN.AX,123.8114678,0.001636704,Financials
30/04/2024,SLF.AX,114.6599425,0.00349598,Property
1/05/2024,^AXJO,104.6488953,-0.009377741,Index
1/05/2024,ATEC.AX,132.4366009,-0.034843323,Technology
1/05/2024,MVR.AX,148.2334649,-0.003731279,Resources
1/05/2024,QFN.AX,122.7999297,-0.008169987,Financials
1/05/2024,SLF.AX,113.250646,-0.012291097,Property
2/05/2024,^AXJO,104.4237578,-0.002151361,Index
2/05/2024,ATEC.AX,130.0828431,-0.017772714,Technology
2/05/2024,MVR.AX,149.3438195,0.00749058,Resources
2/05/2024,QFN.AX,123.204543,0.003294898,Financials
2/05/2024,SLF.AX,113.5064746,0.00225896,Property
3/05/2024,^AXJO,105.8196726,0.01336779,Index
3/05/2024,ATEC.AX,134.2387258,0.03194797,Technology
3/05/2024,MVR.AX,149.4548582,0.000743511,Resources
3/05/2024,QFN.AX,125.429901,0.018062305,Financials
3/05/2024,SLF.AX,114.1348221,0.005535785,Property
6/05/2024,^AXJO,105.7746434,-0.000425528,Index
6/05/2024,ATEC.AX,136.9602927,0.020274081,Technology
6/05/2024,MVR.AX,150.7872903,0.008915281,Resources
6/05/2024,QFN.AX,127.1495148,0.01370976,Financials
6/05/2024,SLF.AX,114.9337195,0.006999594,Property
7/05/2024,^AXJO,107.3056546,0.014474274,Index
7/05/2024,ATEC.AX,138.4681704,0.011009598,Technology
7/05/2024,MVR.AX,153.11906,0.015463967,Resources
7/05/2024,QFN.AX,128.7679579,0.012728661,Financials
7/05/2024,SLF.AX,116.5928544,0.014435581,Property
8/05/2024,^AXJO,107.9360638,0.005874893,Index
8/05/2024,ATEC.AX,138.7623883,0.002124805,Technology
8/05/2024,MVR.AX,153.3411374,0.001450358,Resources
8/05/2024,QFN.AX,129.172581,0.003142266,Financials
8/05/2024,SLF.AX,116.7604167,0.001437157,Property
9/05/2024,^AXJO,107.3506838,-0.005423396,Index
9/05/2024,ATEC.AX,134.2387258,-0.032600062,Technology
9/05/2024,MVR.AX,151.8976557,-0.009413532,Resources
9/05/2024,QFN.AX,127.4529772,-0.013312453,Financials
9/05/2024,SLF.AX,115.52018,-0.010622064,Property
10/05/2024,^AXJO,107.6208592,0.002516755,Index
10/05/2024,ATEC.AX,134.2754994,0.000273942,Technology
10/05/2024,MVR.AX,153.2300987,0.008771978,Resources
10/05/2024,QFN.AX,128.2622037,0.006349216,Financials
10/05/2024,SLF.AX,115.9301004,0.003548475,Property
13/05/2024,^AXJO,106.9003828,-0.006694579,Index
13/05/2024,ATEC.AX,138.3210614,0.030128818,Technology
13/05/2024,MVR.AX,152.7859438,-0.002898614,Resources
13/05/2024,QFN.AX,127.6552788,-0.004731907,Financials
13/05/2024,SLF.AX,115.9450611,0.000129049,Property
14/05/2024,^AXJO,106.2249357,-0.006318472,Index
14/05/2024,ATEC.AX,134.7903881,-0.025525205,Technology
14/05/2024,MVR.AX,153.0080212,0.00145352,Resources
14/05/2024,QFN.AX,126.5425899,-0.008716357,Financials
14/05/2024,SLF.AX,115.597971,-0.002993574,Property
15/05/2024,^AXJO,106.9904499,0.00720654,Index
15/05/2024,ATEC.AX,138.4681704,0.027285197,Technology
15/05/2024,MVR.AX,153.11906,0.000725705,Resources
15/05/2024,QFN.AX,127.5541181,0.007993579,Financials
15/05/2024,SLF.AX,116.0004184,0.00348144,Property
16/05/2024,^AXJO,109.0167741,0.018939299,Index
16/05/2024,ATEC.AX,139.4611595,0.007171244,Technology
16/05/2024,MVR.AX,155.8949628,0.018129048,Resources
16/05/2024,QFN.AX,132.3083164,0.03727201,Financials
16/05/2024,SLF.AX,117.9093919,0.016456609,Property
17/05/2024,^AXJO,106.9904499,-0.018587269,Index
17/05/2024,ATEC.AX,139.130168,-0.00237336,Technology
17/05/2024,MVR.AX,155.0066747,-0.005697991,Resources
17/05/2024,QFN.AX,129.8806567,-0.018348504,Financials
17/05/2024,SLF.AX,116.9085257,-0.008488435,Property
20/05/2024,^AXJO,106.9454121,-0.000420952,Index
20/05/2024,ATEC.AX,141.8517202,0.019561194,Technology
20/05/2024,MVR.AX,155.4508188,0.002865322,Resources
20/05/2024,QFN.AX,128.8691186,-0.007788212,Financials
20/05/2024,SLF.AX,117.6460903,0.006308903,Property
21/05/2024,^AXJO,108.0711515,0.0105263,Index
21/05/2024,ATEC.AX,141.7045966,-0.001037165,Technology
21/05/2024,MVR.AX,155.6728962,0.001428603,Resources
21/05/2024,QFN.AX,129.0714203,0.001569823,Financials
21/05/2024,SLF.AX,117.4665624,-0.001525999,Property
22/05/2024,^AXJO,108.0261223,-0.000416663,Index
22/05/2024,ATEC.AX,141.7413848,0.000259612,Technology
22/05/2024,MVR.AX,156.0060015,0.002139777,Resources
22/05/2024,QFN.AX,129.172581,0.000783758,Financials
22/05/2024,SLF.AX,117.4127026,-0.000458512,Property
23/05/2024,^AXJO,108.8366657,0.007503217,Index
23/05/2024,ATEC.AX,139.7921656,-0.013751941,Technology
23/05/2024,MVR.AX,154.895636,-0.007117454,Resources
23/05/2024,QFN.AX,128.4645054,-0.005481625,Financials
23/05/2024,SLF.AX,116.8696265,-0.004625361,Property
24/05/2024,^AXJO,107.2606253,-0.014480786,Index
24/05/2024,ATEC.AX,138.7623883,-0.007366488,Technology
24/05/2024,MVR.AX,153.2300987,-0.010752642,Resources
24/05/2024,QFN.AX,126.9472032,-0.011811062,Financials
24/05/2024,SLF.AX,115.6099439,-0.010778529,Property
27/05/2024,^AXJO,107.6658884,0.003778303,Index
27/05/2024,ATEC.AX,139.130168,0.002650428,Technology
27/05/2024,MVR.AX,154.6735695,0.009420282,Resources
27/05/2024,QFN.AX,128.3633446,0.011155357,Financials
27/05/2024,SLF.AX,116.5180512,0.007854923,Property
28/05/2024,^AXJO,107.2155961,-0.004182312,Index
28/05/2024,ATEC.AX,139.2405034,0.000793037,Technology
28/05/2024,MVR.AX,154.4514811,-0.001435852,Resources
28/05/2024,QFN.AX,127.2506656,-0.008668199,Financials
28/05/2024,SLF.AX,116.1949069,-0.002773341,Property
29/05/2024,^AXJO,106.5851782,-0.005879908,Index
29/05/2024,ATEC.AX,138.2842732,-0.006867471,Technology
29/05/2024,MVR.AX,152.0086836,-0.015815954,Resources
29/05/2024,QFN.AX,127.4529772,0.001589867,Financials
29/05/2024,SLF.AX,114.6823834,-0.013017124,Property
30/05/2024,^AXJO,106.7202659,0.001267415,Index
30/05/2024,ATEC.AX,135.3420649,-0.021276521,Technology
30/05/2024,MVR.AX,151.4535226,-0.003652166,Resources
30/05/2024,QFN.AX,126.7449015,-0.005555584,Financials
30/05/2024,SLF.AX,114.1228565,-0.004878927,Property
31/05/2024,^AXJO,107.6208592,0.008438822,Index
31/05/2024,ATEC.AX,137.5487285,0.016304344,Technology
31/05/2024,MVR.AX,151.4535226,0,Resources
31/05/2024,QFN.AX,126.8460623,0.000798145,Financials
31/05/2024,SLF.AX,115.2224645,0.0096353,Property
3/06/2024,^AXJO,107.5308007,-0.000836812,Index
3/06/2024,ATEC.AX,137.3280577,-0.00160431,Technology
3/06/2024,MVR.AX,154.7845973,0.021994039,Resources
3/06/2024,QFN.AX,128.2622037,0.011164252,Financials
3/06/2024,SLF.AX,116.1096283,0.007699573,Property
4/06/2024,^AXJO,106.6752367,-0.007956456,Index
4/06/2024,ATEC.AX,136.3718422,-0.006963002,Technology
4/06/2024,MVR.AX,155.5618575,0.00502156,Resources
4/06/2024,QFN.AX,128.1610429,-0.000788703,Financials
4/06/2024,SLF.AX,115.7520701,-0.003079487,Property
5/06/2024,^AXJO,107.4857801,0.007598234,Index
5/06/2024,ATEC.AX,134.5697319,-0.01321468,Technology
5/06/2024,MVR.AX,156.6722121,0.007137705,Resources
5/06/2024,QFN.AX,130.28526,0.016574593,Financials
5/06/2024,SLF.AX,116.2293135,0.004122979,Property
6/06/2024,^AXJO,108.3413269,0.007959628,Index
6/06/2024,ATEC.AX,134.9007381,0.002459737,Technology
6/06/2024,MVR.AX,158.1156828,0.009213317,Resources
6/06/2024,QFN.AX,130.9933357,0.00543481,Financials
6/06/2024,SLF.AX,117.0192331,0.006796216,Property
7/06/2024,^AXJO,108.6115196,0.002493902,Index
7/06/2024,ATEC.AX,135.5994946,0.005179783,Technology
7/06/2024,MVR.AX,158.6708765,0.003511313,Resources
7/06/2024,QFN.AX,131.0944766,0.000772107,Financials
7/06/2024,SLF.AX,117.5907329,0.004883811,Property
11/06/2024,^AXJO,108.2062479,-0.003731388,Index
11/06/2024,ATEC.AX,131.7746326,-0.028207052,Technology
11/06/2024,MVR.AX,156.8942895,-0.011196679,Resources
11/06/2024,QFN.AX,127.6552788,-0.026234498,Financials
11/06/2024,SLF.AX,116.0258472,-0.0133079,Property
12/06/2024,^AXJO,107.7109263,-0.004577569,Index
12/06/2024,ATEC.AX,130.9287232,-0.006419365,Technology
12/06/2024,MVR.AX,157.116367,0.001415459,Resources
12/06/2024,QFN.AX,127.3518264,-0.002377124,Financials
12/06/2024,SLF.AX,115.4289186,-0.00514479,Property
13/06/2024,^AXJO,109.6471919,0.017976502,Index
13/06/2024,ATEC.AX,130.0828431,-0.006460615,Technology
13/06/2024,MVR.AX,157.6715388,0.003533507,Resources
13/06/2024,QFN.AX,128.9702694,0.01270844,Financials
13/06/2024,SLF.AX,115.9405758,0.004432661,Property
14/06/2024,^AXJO,108.3863648,-0.011498946,Index
14/06/2024,ATEC.AX,128.7956214,-0.009895399,Technology
14/06/2024,MVR.AX,157.2273948,-0.002816894,Resources
14/06/2024,QFN.AX,128.9702694,0,Financials
14/06/2024,SLF.AX,115.5605694,-0.003277597,Property
17/06/2024,^AXJO,107.8009848,-0.005400864,Index
17/06/2024,ATEC.AX,127.1038465,-0.013135345,Technology
17/06/2024,MVR.AX,157.5605001,0.002118621,Resources
17/06/2024,QFN.AX,127.4529772,-0.011764667,Financials
17/06/2024,SLF.AX,115.2015137,-0.003107078,Property
18/06/2024,^AXJO,108.431394,0.005847899,Index
18/06/2024,ATEC.AX,127.581947,0.003761495,Technology
18/06/2024,MVR.AX,160.1143363,0.016208607,Resources
18/06/2024,QFN.AX,128.2622037,0.006349216,Financials
18/06/2024,SLF.AX,116.3654569,0.010103541,Property
19/06/2024,^AXJO,108.0261223,-0.003737587,Index
19/06/2024,ATEC.AX,127.4348527,-0.00115294,Technology
19/06/2024,MVR.AX,159.4481258,-0.004160843,Resources
19/06/2024,QFN.AX,127.9587413,-0.002365954,Financials
19/06/2024,SLF.AX,116.2397889,-0.001079943,Property
20/06/2024,^AXJO,107.4857801,-0.005001958,Index
20/06/2024,ATEC.AX,127.5451734,0.000865703,Technology
20/06/2024,MVR.AX,160.0032976,0.003481834,Resources
20/06/2024,QFN.AX,128.666807,0.005533547,Financials
20/06/2024,SLF.AX,116.2352963,-3.86E-05,Property
21/06/2024,^AXJO,108.3413269,0.007959628,Index
21/06/2024,ATEC.AX,127.581947,0.000288318,Technology
21/06/2024,MVR.AX,160.3364138,0.002081933,Resources
21/06/2024,QFN.AX,129.8806567,0.009434055,Financials
21/06/2024,SLF.AX,116.6332511,0.0034237,Property
24/06/2024,^AXJO,108.431394,0.000831327,Index
24/06/2024,ATEC.AX,126.5889579,-0.007783147,Technology
24/06/2024,MVR.AX,159.6702032,-0.00415508,Resources
24/06/2024,QFN.AX,128.8691186,-0.007788212,Financials
24/06/2024,SLF.AX,115.7012054,-0.007991253,Property
25/06/2024,^AXJO,108.5214525,0.000830557,Index
25/06/2024,ATEC.AX,127.8761795,0.010168514,Technology
25/06/2024,MVR.AX,161.3357406,0.010431109,Resources
25/06/2024,QFN.AX,130.9933357,0.016483523,Financials
25/06/2024,SLF.AX,117.2735642,0.013589822,Property
26/06/2024,^AXJO,109.0167741,0.004564273,Index
26/06/2024,ATEC.AX,127.2509555,-0.004889292,Technology
26/06/2024,MVR.AX,160.225386,-0.00688226,Resources
26/06/2024,QFN.AX,128.0598822,-0.022393915,Financials
26/06/2024,SLF.AX,116.4387626,-0.007118412,Property
27/06/2024,^AXJO,108.9267242,-0.000826018,Index
27/06/2024,ATEC.AX,127.7290706,0.003757261,Technology
27/06/2024,MVR.AX,158.8929539,-0.008315986,Resources
27/06/2024,QFN.AX,124.9241468,-0.024486477,Financials
27/06/2024,SLF.AX,116.0886848,-0.00300654,Property
28/06/2024,^AXJO,109.7822796,0.007854413,Index
28/06/2024,ATEC.AX,126.8831904,-0.006622456,Technology
28/06/2024,MVR.AX,160.1143363,0.007686826,Resources
28/06/2024,QFN.AX,127.3017877,0.019032677,Financials
28/06/2024,SLF.AX,116.2068725,0.001018081,Property
1/07/2024,^AXJO,107.392841,-0.021765249,Index
1/07/2024,ATEC.AX,127.708304,0.006502938,Technology
1/07/2024,MVR.AX,159.7613887,-0.002204347,Resources
1/07/2024,QFN.AX,128.0204397,0.005645262,Financials
1/07/2024,SLF.AX,115.9555365,-0.002162833,Property
2/07/2024,^AXJO,107.5734064,0.001681354,Index
2/07/2024,ATEC.AX,128.270906,0.004405368,Technology
2/07/2024,MVR.AX,159.5370134,-0.00140444,Resources
2/07/2024,QFN.AX,126.5831556,-0.011226989,Financials
2/07/2024,SLF.AX,115.4693152,-0.00419317,Property
3/07/2024,^AXJO,107.5282651,-0.000419633,Index
3/07/2024,ATEC.AX,128.7584964,0.003801255,Technology
3/07/2024,MVR.AX,158.9760478,-0.003516209,Resources
3/07/2024,QFN.AX,127.0964742,0.004055189,Financials
3/07/2024,SLF.AX,115.793957,0.002811498,Property
4/07/2024,^AXJO,107.8893959,0.003358473,Index
4/07/2024,ATEC.AX,131.2713867,0.019516307,Technology
4/07/2024,MVR.AX,160.4345474,0.009174335,Resources
4/07/2024,QFN.AX,129.3550621,0.017770657,Financials
4/07/2024,SLF.AX,117.1688396,0.011873526,Property
5/07/2024,^AXJO,107.8893959,0,Index
5/07/2024,ATEC.AX,130.7087993,-0.004285682,Technology
5/07/2024,MVR.AX,159.6491956,-0.004895154,Resources
5/07/2024,QFN.AX,129.0470669,-0.002381006,Financials
5/07/2024,SLF.AX,117.0267134,-0.001213003,Property
8/07/2024,^AXJO,108.160244,0.002510424,Index
8/07/2024,ATEC.AX,128.7584964,-0.014920977,Technology
8/07/2024,MVR.AX,159.5370134,-0.00070268,Resources
8/07/2024,QFN.AX,127.7124545,-0.010342059,Financials
8/07/2024,SLF.AX,116.1425446,-0.007555273,Property
9/07/2024,^AXJO,108.9728057,0.007512572,Index
9/07/2024,ATEC.AX,129.3960808,0.004951785,Technology
9/07/2024,MVR.AX,161.3320814,0.011251734,Resources
9/07/2024,QFN.AX,128.6364101,0.007234655,Financials
9/07/2024,SLF.AX,117.1374281,0.008566055,Property
10/07/2024,^AXJO,108.9728057,0,Index
10/07/2024,ATEC.AX,128.2333855,-0.008985552,Technology
10/07/2024,MVR.AX,161.6686498,0.002086184,Resources
10/07/2024,QFN.AX,128.5337583,-0.000797999,Financials
10/07/2024,SLF.AX,116.9444298,-0.001647623,Property
11/07/2024,^AXJO,110.1464981,0.010770508,Index
11/07/2024,ATEC.AX,129.4711071,0.009652101,Technology
11/07/2024,MVR.AX,162.6783769,0.006245658,Resources
11/07/2024,QFN.AX,130.3816794,0.014376932,Financials
11/07/2024,SLF.AX,118.0335697,0.009313312,Property
12/07/2024,^AXJO,109.2436624,-0.008196681,Index
12/07/2024,ATEC.AX,130.5962819,0.008690547,Technology
12/07/2024,MVR.AX,164.2490696,0.009655202,Resources
12/07/2024,QFN.AX,132.8455907,0.018897681,Financials
